VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
X,2937,36,1217.5,29.2474,-97.8201
X,2938,52,1217.5,29.2474,-97.8101
X,2939,36,1282.1,29.2474,-97.8001
X,2941,36,1312.5,29.2474,-97.7801
X,2984,45,1217.5,29.2374,-97.8301
X,2985,31,1217.5,29.2374,-97.8201
X,2987,52,1217.5,29.2374,-97.8001
X,2988,52,1190.82,29.2374,-97.7901
X,2989,45,1312.48,29.2374,-97.7801
X,2990,31,1312.48,29.2374,-97.7701
X,2991,31,1341.68,29.2374,-97.7601
X,2992,11,1312.48,29.2374,-97.7501
X,2994,36,1178.86,29.2274,-98.3001
X,3008,45,1092.08,29.2274,-98.0801
X,3051,36,1342.86,29.2174,-98.1201
X,3052,52,1161.94,29.2174,-98.1101
X,3053,45,1185.58,29.2174,-98.1001
X,3054,31,1204.8,29.2174,-98.0901
X,3056,52,1064.68,29.2174,-98.0501
X,3057,45,1041.14,29.2174,-98.0401
X,3058,45,1064.68,29.2174,-98.0301
X,3059,36,1104.08,29.2174,-98.0201
X,3060,31,1095.48,29.2174,-98.0001
X,3063,52,1032.08,29.2174,-97.9701
X,3064,31,1094.4,29.2174,-97.9601
X,3065,45,1084.06,29.2174,-97.9501
X,3066,31,1197.7,29.2174,-97.9401
X,3118,31,1136.8,29.2074,-97.8801
X,3120,45,1164.44,29.2074,-97.8601
X,3121,31,1108.08,29.2074,-97.8501
X,3122,45,1057.88,29.2074,-97.8401
X,3123,36,1259.52,29.2074,-97.8301
X,3124,31,1217.44,29.2074,-97.8201
