VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,3558,52,1361.76,-98.0801,29.1174
X,3559,44,1368.84,-98.0601,29.1174
X,3560,36,1361.76,-98.0501,29.1174
X,3570,52,1286.92,-97.9501,29.1174
X,3571,44,1167.38,-97.9401,29.1174
X,3572,31,1243.42,-97.9301,29.1174
X,3613,52,1307.42,-98.0101,29.1074
X,3614,44,1251.84,-98.0001,29.1074
X,3615,36,1286.38,-97.9901,29.1074
X,3616,31,1290.8,-97.9801,29.1074
X,3617,31,1267.34,-97.9701,29.1074
X,3620,44,1245.3,-97.9401,29.1074
X,3621,44,1339.56,-97.9301,29.1074
X,3622,31,1292.16,-97.9101,29.1074
X,3623,44,1292.16,-97.9001,29.1074
X,3624,31,1265.8,-97.8901,29.1074
X,3625,44,1219.54,-98.3901,29.0974
X,3626,52,1196.88,-98.3801,29.0974
X,3627,52,1206.54,-98.3701,29.0974
X,3628,44,1262.8,-98.3501,29.0974
X,3629,31,1161.96,-98.3201,29.0974
X,3630,36,1262.8,-98.3101,29.0974
X,3686,36,1225.18,-98.1001,29.0874
X,3687,36,1271.8,-98.0901,29.0874
X,3689,52,1254.38,-98.0701,29.0874
X,3690,36,1237.2,-98.0601,29.0874
X,3691,31,1174.72,-98.0401,29.0874
X,3692,36,1221.92,-98.0301,29.0874
X,3693,52,1221.92,-98.0201,29.0874
X,3694,31,1233.32,-98.0101,29.0874
X,3695,52,1221.92,-98.0001,29.0874
X,3696,52,1237.2,-97.9901,29.0874
X,3697,52,1214.16,-97.9801,29.0874
X,3698,36,1252.78,-97.9701,29.0874
X,3751,31,1242.42,-98.2701,29.0674
X,3753,52,1267.46,-98.2401,29.0674
X,3754,36,1203.58,-98.2201,29.0674
X,3755,31,1206.5,-98.2101,29.0674
X,3756,31,1206.5,-98.2001,29.0674
X,3759,52,1164.54,-98.1701,29.0674
X,3760,44,1198.22,-98.1601,29.0674
X,3761,36,1210.46,-98.1401,29.0674
X,3762,31,879.6,-98.1301,29.0674
X,3763,44,1243.26,-98.1201,29.0674
